Hôm nay hôm trời đẹp không?,hỏi thời tiết
Hôm nay thời tiết thế nào ?,hỏi thời tiết
Hôm nay mưa không ?,hỏi thời tiết
Chào em gái,chào hỏi
Chào bạn,chào hỏi
Hello bạn,chào hỏi
Hi kimi,chào hỏi
Hi em,chào hỏi
trời có nắng không?,hỏi thời tiết
Hi sumi ,chào hỏi
hi bạn,chào hỏi
thời tiết hôm nay thế nào?,hỏi thời tiết
trời nắng hay mưa?,hỏi thời tiết
trời có bão không?,hỏi thời tiết
ê mày,chào hỏi
hú bạn,chào hỏi
chào anh,chào hỏi
chào chú,chào hỏi
chào cậu,chào hỏi
chào ông,chào hỏi
dự báo thời tiết hôm nay,hỏi thời tiết
ê,chào hỏi
hú ,chào hỏi
có nên ra ngoài đường không,hỏi thời tiết
mưa lớn hay nhỏ,hỏi thời tiết
tia uv ,hỏi thời tiết
bạn ơi,chào hỏi
mày hôm nay thế nào,chào hỏi
bạn hôm nay thế nào,chào hỏi
cho mình hỏi,chào hỏi
trời hôm nay thế nào,hỏi thời tiết
"chào bạn, hôm nay thời tiết thế nào",hỏi thời tiết
"chào bạn, hôm nay trời có mưa không",hỏi thời tiết
"Hello bạn, hôm nay thời có mưa không",hỏi thời tiết
"Hello bạn, trời hôm nay thế nào ",hỏi thời tiết
"hi bạn, hôm nay thời thế nào",hỏi thời tiết
"hi, thời tiết",hỏi thời tiết
ê mày ơi,chào hỏi
cho tao hỏi,chào hỏi
mày rãnh không,chào hỏi
hôm nay rãnh không,chào hỏi
ê ê,chào hỏi
đang làm gì vậy,chào hỏi
chào cô,chào hỏi
cháu chào bác,chào hỏi
